,V1
S4521,charcot-marie-tooth disease, type 2b2
S4522,coronary artery disease, autosomal dominant, 1
S4523,mental retardation, autosomal dominant 20
S4524,familial mediterranean fever, autosomal dominant
S4525,gastrinoma
S4526,glucagonoma
S4527,multiple endocrine neoplasia type 1
S4528,spondylocostal dysostosis 2, autosomal recessive
S4529,charcot-marie-tooth disease, axonal, type 2a2
S4530,hereditary motor and sensory neuropathy vi
S4531,microphthalmia, isolated 5
S4532,nanophthalmos 2
S4533,ceroid lipofuscinosis, neuronal, 7
S4534,congenital disorder of glycosylation type 2a
S4535,keutel syndrome
S4536,opitz gbbb syndrome, x-linked
S4537,laurin-sandrow syndrome
S4538,deafness, autosomal dominant 50
S4539,albinism ocular late onset sensorineural deafness
S4540,albinism, oculocutaneous
S4541,tietz syndrome
S4542,waardenburg syndrome type 2
S4543,waardenburg syndrome type 2a
S4544,mckusick kaufman syndrome
S4545,meckel syndrome type 1
S4546,megalencephalic leukoencephalopathy with subcortical cysts
S4547,cafe au lait spots, multiple
S4548,lynch syndrome ii
S4549,muir-torre syndrome
S4550,kabuki syndrome
S4551,griscelli syndrome type 3
S4552,methylmalonic aciduria cbla type
S4553,methylmalonic aciduria cblb type
S4554,methylmalonic acidemia with homocystinuria
S4555,methylmalonic aciduria and homocystinuria, cbld type
S4556,cryopyrin-associated periodic syndromes
S4557,spondyloepimetaphyseal dysplasia, missouri type
S4558,torg-winchester syndrome
S4559,amelogenesis imperfecta, hypomaturation type, iia2
S4560,histiocytoma, benign fibrous
S4561,actinobacillus infections
S4562,fusobacterium infections
S4563,metaphyseal anadysplasia 2
S4564,meningioma, familial
S4565,classical lissencephalies and subcortical band heterotopias
S4566,currarino triad
S4567,congenital disorder of glycosylation, type iib
S4568,congenital disorder of glycosylation type 1f
S4569,congenital disorder of glycosylation type 1b
S4570,congenital amegakaryocytic thrombocytopenia
S4571,amish brittle hair brain syndrome
S4572,myeloperoxidase deficiency
S4573,mitochondrial dna depletion syndrome 6 (hepatocerebral type)
S4574,charcot-marie-tooth disease, dominant intermediate d
S4575,charcot-marie-tooth disease, type 2i
S4576,charcot-marie-tooth disease, type 2j
S4577,roussy-levy hereditary areflexic dystasia
S4578,ataxia-telangiectasia-like disorder
S4579,combined oxidative phosphorylation deficiency 2
S4580,combined oxidative phosphorylation deficiency 5
S4581,mental retardation, autosomal recessive 4
S4582,mental retardation, x-linked 72
S4583,neurofibromatosis 1
S4584,prostate cancer, hereditary, 13
S4585,deafness, autosomal recessive 74
S4586,keratoacanthoma familial
S4587,myostatin-related muscle hypertrophy
S4588,orofacial cleft 5
S4589,tooth agenesis, selective, 1
S4590,witkop syndrome
S4591,craniosynostosis, type 2
S4592,parietal foramina with cleidocranial dysplasia
S4593,eye burns
S4594,nevus
S4595,blood coagulation disorders, inherited
S4596,homocystinuria due to deficiency of n(5,10)-methylenetetrahydrofolate reductase activity
S4597,orofacial cleft 1
S4598,myopathy, centronuclear, x-linked
S4599,charcot-marie-tooth disease, type 4b1
S4600,spastic ataxia 4, autosomal recessive
S4601,methylcobalamin deficiency, cblg type
S4602,homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cble complementation type
S4603,abetalipoproteinemia
S4604,methylmalonic aciduria due to methylmalonyl-coa mutase deficiency
S4605,colorectal adenomatous polyposis, autosomal recessive
S4606,mevalonate kinase deficiency
S4607,porokeratosis, disseminated superficial actinic 1
S4608,influenza in birds
S4609,cardiomyopathy, familial hypertrophic, 4
S4610,cardiomyopathy, hypertrophic, familial
S4611,oculodigitoesophagoduodenal syndrome
S4612,myd88 deficiency
S4613,aortic aneurysm, familial thoracic 4
S4614,deafness, autosomal dominant 4a
S4615,inclusion body myopathy, autosomal dominant
S4616,distal arthrogryposis type 2b
S4617,freeman-sheldon syndrome
S4618,cardiomyopathy, dilated, 1ee
S4619,cardiomyopathy, familial hypertrophic, 14
S4620,cardiomyopathy, dilated, 1s
S4621,myopathy, myosin storage
S4622,scapuloperoneal myopathy, myh7-related
S4623,carney complex variant
S4624,hecht syndrome
S4625,deafness, autosomal dominant 17
S4626,epstein syndrome
S4627,fechtner syndrome
S4628,macrothrombocytopenia progressive deafness
S4629,may-hegglin anomaly
S4630,sebastian syndrome
S4631,cardiomyopathy, familial hypertrophic, 10
S4632,cardiomyopathy, familial hypertrophic, 8
S4633,deafness, autosomal recessive 3
S4634,deafness, autosomal dominant 48
S4635,deafness, autosomal recessive 30
S4636,griscelli syndrome type 1
S4637,microvillus inclusion disease
S4638,deafness, autosomal dominant 22;dfna22 deafness, autosomal dominant 22, with hypertrophic cardiomyopathy,
S4639,deafness, autosomal recessive 37
S4640,deafness, autosomal dominant 11
S4641,deafness, autosomal recessive 2
S4642,usher syndromes
S4643,usher syndrome, type 1b
S4644,muscular dystrophy, limb-girdle, type 1a
S4645,myopathy, myofibrillar, 3
S4646,spheroid body myopathy
S4647,solitary fibrous tumors
S4648,kanzaki disease
S4649,schindler disease, type 1
S4650,n-acetyl glutamate synthetase deficiency
S4651,gray platelet syndrome
S4652,nijmegen breakage syndrome
S4653,granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type i
S4654,granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type ii
S4655,hidradenitis suppurativa, familial
S4656,optic atrophies, hereditary
S4657,exudative vitreoretinopathy 2, x-linked
S4658,norrie disease
S4659,neuropathy, hereditary motor and sensory, lom type
S4660,nemaline myopathy 2
S4661,charcot-marie-tooth disease, type 1f
S4662,charcot-marie-tooth disease, type 2e
S4663,never in mitosis gene a-related kinase 1
S4664,neuraminidase 1 deficiency
S4665,maturity-onset diabetes of the young, type 6
S4666,diarrhea 4, malabsorptive, congenital
S4667,cardiomyopathy, dilated, 1cc
S4668,neurofibromatoses
S4669,neurofibromatosis, familial spinal
S4670,neurofibromatosis-noonan syndrome
S4671,watson syndrome
S4672,neurofibromatosis 2
S4673,schwannomatosis
S4674,ectodermal dysplasia, anhidrotic, with t-cell immunodeficiency, autosomal dominant
S4675,neuropathy, hereditary sensory and autonomic, type v
S4676,severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation
S4677,dyskeratosis congenita, autosomal recessive
S4678,nance-horan syndrome
S4679,spastic paraplegia 6, autosomal dominant
S4680,ichthyosis, congenital, autosomal recessive 6
S4681,de lange syndrome
S4682,choreoathetosis, hypothyroidism, and neonatal respiratory distress
S4683,atrial septal defect 7 with or without atrioventricular conduction defects
S4684,hypothyroidism, congenital, nongoitrous, 5
S4685,spondylo-megaepiphyseal-metaphyseal dysplasia
S4686,asperger syndrome, x-linked, susceptibility to, 1
S4687,autism, susceptibility to, x-linked 1
S4688,asperger syndrome, x-linked, susceptibility to, 2
S4689,autism, susceptibility to, x-linked 2
S4690,vitiligo-associated multiple autoimmune disease susceptibility 1
S4691,familial cold autoinflammatory syndrome 2
S4692,familial cold autoinflammatory syndrome 1
S4693,muckle-wells syndrome
S4694,hydatidiform mole
S4695,ciliary dyskinesia, primary, 6
S4696,hereditary macular coloboma
S4697,premature ovarian failure 5
S4698,sarcoidosis, early-onset
S4699,synovitis granulomatous with uveitis and cranial neuropathies
S4700,brachydactyly, type b2
S4701,multiple synostoses syndrome 1
S4702,stapes ankylosis with broad thumb and toes
S4703,tarsal carpal coalition syndrome
S4704,pyloric stenosis, infantile hypertrophic, 1
S4705,hajdu-cheney syndrome
S4706,cadasil
S4707,niemann-pick disease, type c2
S4708,joubert syndrome 4
S4709,nephronophthisis, familial juvenile
S4710,senior-loken syndrome 1
S4711,nephronophthisis 3
S4712,renal-hepatic-pancreatic dysplasia
S4713,renal hepatic pancreatic dysplasia dandy walker cyst
S4714,nephronophthisis 4
S4715,senior-loken syndrome 4
S4716,nephrotic syndrome, idiopathic, steroid-resistant
S4717,atrial fibrillation, familial, 6
S4718,acromesomelic dysplasia, maroteaux type
S4719,asthma-related traits, susceptibility to, 2
S4720,dosage-sensitive sex reversal
S4721,enhanced s-cone syndrome
S4722,retinitis pigmentosa 37
S4723,46, xx disorders of sex development
S4724,acanthosis nigricans
S4725,hypertension, early-onset, autosomal dominant, with severe exacerbation in pregnancy
S4726,chondrosarcoma, extraskeletal myxoid
S4727,46,xy sex reversal 3
S4728,gonadal dysgenesis, 46,xx
S4729,gonadal dysgenesis, 46,xy
S4730,premature ovarian failure 7
S4731,neurofibrosarcoma
S4732,noonan syndrome 6
S4733,sotos syndrome
S4734,weaver syndrome
S4735,ck syndrome
S4736,congenital hemidysplasia with ichthyosiform erythroderma and limb defects
S4737,uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to
S4738,calcification of joints and arteries
S4739,glaucoma 1, open angle, o
S4740,familial medullary thyroid carcinoma
S4741,striatonigral degeneration infantile
S4742,night blindness, congenital stationary, type 1a
S4743,ornithine aminotransferase deficiency
S4744,three m syndrome 2
S4745,band-like calcification with simplified gyration and polymicrogyria
S4746,dent disease 2
S4747,oculocerebrorenal syndrome
S4748,joubert syndrome 10
S4749,orofaciodigital syndrome type1
S4750,simpson-golabi-behmel syndrome, type 2
S4751,alpha-ketoglutarate dehydrogenase deficiency
S4752,glaucoma, normal tension, susceptibility to
S4753,optic atrophy 1 and deafness
S4754,costeff optic atrophy syndrome
S4755,optic atrophy and cataract, autosomal dominant
S4756,mental retardation, x-linked, with cerebellar hypoplasia and distinctive facial appearance
S4757,colorblindness, partial, deutan series
S4758,tritanopia
S4759,hip contracture
S4760,lordosis
S4761,osteoarthritis, spine
S4762,shoulder dislocation
S4763,amyotrophic lateral sclerosis 12
S4764,immune dysfunction with t-cell inactivation due to calcium entry defect 1
S4765,amyloidosis ix
S4766,osteopetrosis, autosomal recessive 1
S4767,osteopetrosis, autosomal recessive 5
S4768,ornithine transcarbamylase deficiency, hyperammonemia due to
S4769,deafness, autosomal recessive 22
S4770,deafness, autosomal recessive 9
S4771,microphthalmia, syndromic 5
S4772,succinyl-coa:3-oxoacid coa transferase deficiency
S4773,bleeding disorder, platelet-type, 8
S4774,muscular dystrophy, oculopharyngeal
S4775,lissencephaly
S4776,phenylketonurias
S4777,mental retardation, x-linked 30
S4778,fanconi anemia, complementation group n
S4779,hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration
S4780,pantothenate kinase-associated neurodegeneration
S4781,spondyloepimetaphyseal dysplasia, pakistani type
S4782,parkinson disease 4, autosomal dominant lewy body
S4783,parkinson disease 7, autosomal recessive early-onset
S4784,papillorenal syndrome
S4785,craniofacial deafness hand syndrome
S4786,waardenburg syndrome
S4787,maturity-onset diabetes of the young, type 9
S4788,aniridia
S4789,aniridia cerebellar ataxia mental deficiency
S4790,aniridia, type 2
S4791,coloboma of optic nerve
S4792,ectopia pupillae
S4793,foveal hypoplasia and presenile cataract syndrome
S4794,keratitis, hereditary
S4795,optic nerve hypoplasia, bilateral
S4796,hypothyroidism, congenital, nongoitrous, 2
S4797,tooth agenesis, selective, 3
S4798,pyruvate carboxylase deficiency disease
S4799,hyperphenylalaninemia, bh4-deficient, d
S4800,propionic acidemia
S4801,deafness, autosomal recessive 23
S4802,usher syndrome, type 1f
S4803,epileptic encephalopathy, early infantile, 9
S4804,phosphoenolpyruvate carboxykinase deficiency
S4805,phosphoenolpyruvate carboxykinase 2 deficiency
S4806,microcephalic osteodysplastic primordial dwarfism, type ii
S4807,seckel syndrome 2
S4808,body mass index quantitative trait locus 12
S4809,proprotein convertase 1/3 deficiency
S4810,tracheoesophageal fistula
S4811,hypercholesterolemia, autosomal dominant, 3
S4812,cerebral cavernous malformations 3
S4813,pigmented nodular adrenocortical disease, primary, 2
S4814,night blindness, congenital stationary
S4815,night blindness, congenital stationary, autosomal dominant 2
S4816,cone dystrophy 4
S4817,retinitis pigmentosa 57
S4818,retinal cone dystrophy 3a
S4819,striatal degeneration, autosomal dominant
S4820,hypereosinophilic syndrome, idiopathic
S4821,leigh syndrome, x-linked
S4822,pyruvate dehydrogenase complex deficiency disease
S4823,pyruvate metabolism, inborn errors
S4824,pyruvate dehydrogenase e3-binding protein deficiency
S4825,pyruvate dehydrogenase phosphatase deficiency
S4826,maturity-onset diabetes of the young, type 4
S4827,pancreatic agenesis, congenital
S4828,spinocerebellar ataxia 23
S4829,prolidase deficiency
S4830,advanced sleep-phase syndrome, familial
S4831,peroxisome biogenesis disorder 2b
S4832,peroxisome biogenesis disorders
S4833,refsum disease, infantile
S4834,chondrodysplasia punctata, rhizomelic
S4835,rhizomelic chondrodysplasia punctata, type 1
S4836,glycogen storage disease type vii
S4837,dimauro disease
S4838,phosphoglycerate kinase 1 deficiency
S4839,glycogen storage disease xiv
S4840,borjeson-forssman-lehmann syndrome
S4841,siderius x-linked mental retardation syndrome
S4842,phosphoglycerate dehydrogenase deficiency
S4843,glycogen storage disease, type ixd
S4844,glycogen storage disease ixa1
S4845,glycogen storage disease ixb
S4846,glycogen storage disease ixc
S4847,fibrosis of extraocular muscles, congenital, 2
S4848,hyperphosphatasia with mental retardation syndrome 1
S4849,corneal dystrophy, fleck
S4850,parkinson disease 6, autosomal recessive early-onset
S4851,lethal congenital contractural syndrome 3
S4852,iridogoniodysgenesis, type 2
S4853,ring dermoid of cornea
S4854,cataract, posterior polar, 4
S4855,polycystic kidney disease, type 2
S4856,adenosine triphosphate, elevated, of erythrocytes
S4857,pyruvate kinase deficiency of red cells
S4858,ectodermal dysplasia/ skin fragility syndrome
S4859,arrhythmogenic right ventricular dysplasia, familial, 9
S4860,neurodegeneration with brain iron accumulation 2a
S4861,neurodegeneration with brain iron accumulation 2b
S4862,parkinson disease 14, autosomal recessive
S4863,salivary gland adenoma, pleomorphic
S4864,thrombophilia, familial, due to decreased release of tissue plasminogen activator;thph9 hyperfibrinolysis, familial, due to increased release of tissue plasminogen
S4865,epileptic encephalopathy, early infantile, 12
S4866,nephrotic syndrome, type 3
S4867,epidermolysa bullosa simplex and limb girdle muscular dystrophy
S4868,epidermolysis bullosa simplex, ogna type
S4869,epidermolysis bullosa simplex with pyloric atresia
S4870,muscular dystrophy, limb-girdle, type 2q
S4871,spinal muscular atrophy, distal, autosomal recessive, 4
S4872,osteopetrosis, autosomal recessive 6
S4873,pulmonary function
S4874,plasminogen deficiency, type i
S4875,cardiomyopathy, dilated, 1p
S4876,ehlers-danlos syndrome type 6
S4877,nevo syndrome
S4878,bruck syndrome 2
S4879,bone fragility with contractures, arterial rupture, and deafness
S4880,spastic paraplegia 2, x-linked
S4881,congenital disorder of glycosylation type 1a
S4882,charcot-marie-tooth disease, demyelinating, type 1e
S4883,neuropathy, hereditary, with liability to pressure palsies
S4884,dna repair-deficiency disorders
S4885,epileptic encephalopathy, early infantile, 10
S4886,purine nucleoside phosphorylase deficiency
S4887,neutral lipid storage disease with myopathy
S4888,spastic paraplegia 39, autosomal recessive
S4889,pyridoxamine 5-prime-phosphate oxidase deficiency
S4890,premature ovarian failure 2b
S4891,diffuse cerebral sclerosis of schilder
S4892,mitochondrial dna depletion syndrome 1 (mngie type)
S4893,mitochondrial dna depletion syndrome 4a (alpers type)
S4894,mitochondrial dna depletion syndrome 4b (mngie type)
S4895,progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 1
S4896,progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive
S4897,progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 4
S4898,xeroderma pigmentosum, variant type
S4899,mandibulofacial dysostosis
S4900,mandibulofacial dysostosis, treacher collins type, autosomal recessive
S4901,treacher collins syndrome 2
S4902,acth syndrome, ectopic
S4903,aortic stenosis, subvalvular
S4904,proopiomelanocortin deficiency
S4905,rhabdomyoma
S4906,muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 3
S4907,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 3
S4908,keratosis linearis with ichthyosis congenita and sclerosing keratoderma
S4909,muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 1
S4910,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 1
S4911,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 2
S4912,muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 2
S4913,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 2
S4914,microvascular complications of diabetes, susceptibility to, 5
S4915,adrenal hyperplasia, congenital, due to cytochrome p450 oxidoreductase deficiency
S4916,antley-bixler syndrome with genital anomalies and disordered steroidogenesis
S4917,disordered steroidogenesis due to cytochrome p450 oxidoreductase deficiency
S4918,focal dermal hypoplasia
S4919,chromosome disorders
S4920,dwarfism, pituitary
S4921,pituitary hormone deficiency, combined, 1
S4922,progressive hearing loss stapes fixation
S4923,deafness, autosomal dominant 15
S4924,gestational trophoblastic disease
S4925,carotid intimal medial thickness 1
S4926,lipodystrophy, familial partial, type 3
S4927,juvenile osteoporosis
S4928,osteogenesis imperfecta, type ix
S4929,spinocerebellar ataxia 12
S4930,ceroid lipofuscinosis, neuronal, 1
S4931,renpenning syndrome 1
S4932,pierre robin syndrome
S4933,hemophagocytic lymphohistiocytosis, familial, 2
S4934,jacobs syndrome
S4935,epilepsy, progressive myoclonic, 1b
S4936,cardiomyopathy, familial hypertrophic, 6
S4937,glycogen storage disease of heart, lethal congenital
S4938,carbohydrate metabolism, inborn errors
S4939,atrial myxoma, familial
S4940,pigmented nodular adrenocortical disease, primary, 1
S4941,spinocerebellar ataxia 14
S4942,gerstmann-straussler-scheinker disease
S4943,huntington disease-like 1
S4944,insomnia, fatal familial
S4945,spongiform encephalopathy with neuropsychiatric features
S4946,congenital thrombotic disease, due to protein c deficiency
S4947,thrombophilia due to protein c deficiency, autosomal recessive
S4948,hyperprolinemia
S4949,cone-rod dystrophy 12
S4950,macular dystrophy, retinal, 2
S4951,retinitis pigmentosa 41
S4952,stargardt disease 4
S4953,thrombophilia due to protein s deficiency, autosomal dominant
S4954,retinitis pigmentosa 18
S4955,retinitis pigmentosa 11
S4956,retinitis pigmentosa 13
S4957,choroidal dystrophy, central areolar 2
S4958,fundus albipunctatus
S4959,patterned dystrophy of retinal pigment epithelium
S4960,retinitis pigmentosa 7
S4961,arts syndrome
S4962,deafness, x-linked 1
S4963,optic atrophy polyneuropathy deafness
S4964,phosphoribosylpyrophosphate synthetase superactivity
S4965,retrognathia
S4966,mental retardation, autosomal recessive 1
S4967,combined saposin deficiency
S4968,gaucher disease, atypical, due to saposin c deficiency
S4969,krabbe disease, atypical, due to saposin a deficiency
S4970,metachromatic leukodystrophy due to saposin b deficiency
S4971,phosphoserine aminotransferase deficiency
S4972,linitis plastica
S4973,alzheimer disease, familial, 3, with spastic paraparesis and apraxia
S4974,cardiomyopathy, dilated, 1u
S4975,alzheimer disease type 4
S4976,cardiomyopathy, dilated, 1v
S4977,pyogenic arthritis, pyoderma gangrenosum, and acne
S4978,holoprosencephaly 7
S4979,duodenal diseases
S4980,leopard syndrome
S4981,macrocephaly autism syndrome
S4982,proteus syndrome
S4983,vacterl hydrocephaly
S4984,diabetes mellitus, permanent neonatal, with cerebellar agenesis
S4985,asthma-related traits, susceptibility to, 1
S4986,asthma, nasal polyps, and aspirin intolerance
S4987,chondrodysplasia, blomstrand type
S4988,eiken skeletal dysplasia
S4989,failure of tooth eruption, primary
S4990,jansen type metaphyseal chondrodysplasia
S4991,brachydactyly, type e2
S4992,potocki-lupski syndrome
S4993,leopard syndrome, 1
S4994,metachondromatosis
S4995,osteochondroma
S4996,choanal atresia and lymphedema
S4997,deafness, autosomal recessive 84a
S4998,lipodystrophy, congenital generalized, type 4
S4999,6-pyruvoyl-tetrahydropterin synthase deficiency
S5000,myopathy with lactic acidosis and sideroblastic anemia
S5001,poliomyelitis
S5002,rosselli-gulienetti syndrome
S5003,zlotogora-ogur syndrome
S5004,ectodermal dysplasia-syndactyly syndrome 1
S5005,cutis laxa, autosomal recessive, type iib
S5006,glycogen storage disease type vi
S5007,hyperphenylalaninemia, bh4-deficient, c
S5008,acrocephalopolysyndactyly type ii
S5009,griscelli syndrome type 2
S5010,warburg sjo fledelius syndrome
S5011,martsolf syndrome
S5012,charcot-marie-tooth disease, type 2b
S5013,neutrophil immunodeficiency syndrome
S5014,nijmegen breakage syndrome-like disorder
S5015,breast-ovarian cancer, familial, susceptibility to, 3
S5016,fanconi anemia, complementation group o
S5017,leopard syndrome, 2
S5018,noonan syndrome 5
S5019,alpha/beta t-cell lymphopenia with gamma/delta t-cell expansion, severe cytomegalovirus infection, and autoimmunity
S5020,combined cellular and humoral immune defects with granulomas
S5021,severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-positive
S5022,encephalopathy, acute, infection-induced, susceptibility to, 3
S5023,pontocerebellar hypoplasia type 6
S5024,capillary malformation-arteriovenous malformation
S5025,port-wine stain
S5026,microphthalmia, isolated 3
S5027,cone-rod dystrophy 11
S5028,tarp syndrome
S5029,cardiomyopathy, dilated, 1dd
S5030,alopecia, neurologic defects, and endocrinopathy syndrome
S5031,absent radii and thrombocytopenia
S5032,keratomalacia
S5033,leber congenital amaurosis 12
S5034,leber congenital amaurosis 13
S5035,leber congenital amaurosis 3
S5036,retinal dystrophies
S5037,deafness, autosomal recessive 24
S5038,craniosynostosis radial aplasia syndrome
S5039,rapadilino syndrome
S5040,rothmund-thomson syndrome
S5041,spastic paraplegia 31, autosomal dominant
S5042,norman roberts lissencephaly syndrome
S5043,hyperuricemic nephropathy, familial juvenile, 2
S5044,otitis externa
S5045,multiple endocrine neoplasia type 2a
S5046,multiple endocrine neoplasia type 2b
S5047,simpson-golabi-behmel syndrome
S5048,congenital disorder of glycosylation, type in
S5049,prolonged electroretinal response suppression
S5050,rh-null, regulator type
S5051,anemia, hemolytic, congenital
S5052,night blindness, congenital stationary, autosomal dominant 1
S5053,retinitis pigmentosa 4
S5054,cone-rod dystrophy 7
S5055,macrocephaly, alopecia, cutis laxa, and scoliosis
S5056,bothnia retinal dystrophy
S5057,newfoundland rod-cone dystrophy
S5058,anauxetic dysplasia
S5059,cartilage-hair hypoplasia
S5060,metaphyseal dysplasia without hypotrichosis
S5061,aicardi-goutieres syndrome 4
S5062,aicardi-goutieres syndrome 3
S5063,prostate cancer, hereditary, 1
S5064,leukoencephalopathy, cystic, without megalencephaly
S5065,riddle syndrome
S5066,meningitis, viral
S5067,gaze palsy, familial horizontal, with progressive scoliosis
S5068,brachydactyly, type b1
S5069,robinow syndrome, autosomal recessive
S5070,retinitis pigmentosa 1
S5071,retinitis pigmentosa 2
S5072,retinitis pigmentosa 9
S5073,amaurosis congenita of leber, type 2
S5074,cone-rod dystrophy, x-linked, 1
S5075,retinitis pigmentosa 3
S5076,retinitis pigmentosa, x-linked, and sinorespiratory infections, with or without deafness
S5077,cone-rod dystrophy 13
S5078,joubert syndrome 7
S5079,meckel syndrome, type 5
S5080,ribose 5-phosphate isomerase deficiency
S5081,diamond-blackfan anemia 7
S5082,diamond-blackfan anemia 5
S5083,diamond-blackfan anemia 6
S5084,diamond-blackfan anemia 9
S5085,diamond-blackfan anemia 4
S5086,anemia, diamond-blackfan, 3
S5087,diamond-blackfan anemia 10
S5088,coffin-lowry syndrome
S5089,diamond-blackfan anemia 8
S5090,mitochondrial dna depletion syndrome 8a (encephalomyopathic type with renal tubulopathy)
S5091,progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 5
S5092,retinoschisis
S5093,ciliary dyskinesia, primary, 11
S5094,ciliary dyskinesia, primary, 12
S5095,palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,xx sex reversal
S5096,anonychia congenita
S5097,platelet disorder, familial, with associated myeloid malignancy
S5098,cleidocranial dysplasia
S5099,stomatognathic system abnormalities
S5100,malignant hyperthermia susceptibility type 1
S5101,minicore myopathy with external ophthalmoplegia
S5102,myopathy, central core
S5103,arrhythmogenic right ventricular dysplasia, familial, 2
S5104,spastic ataxia charlevoix-saguenay type
S5105,ehlers-danlos syndrome
S5106,townes-brocks syndrome
S5107,oculootoradial syndrome
S5108,tumoral calcinosis, normophosphatemic, familial
S5109,aicardi-goutieres syndrome 5
S5110,chylomicron retention disease
S5111,sarcosinemia
S5112,keratosis follicularis spinulosa decalvans, x-linked
S5113,cleft palate, isolated, and mental retardation
S5114,shwachman syndrome
S5115,charcot-marie-tooth disease, type 4b2
S5116,lathosterolosis
S5117,epilepsy, progressive myoclonic 4, with or without renal failure
S5118,generalized epilepsy with febrile seizures plus, type 2
S5119,migraine, familial hemiplegic, 3
S5120,brugada syndrome 5
S5121,epilepsy, benign neonatal, 3
S5122,epileptic encephalopathy, early infantile, 11
S5123,brugada syndrome 7
S5124,hypokalemic periodic paralysis, type 2
S5125,paramyotonia congenita of von eulenburg
S5126,potassium aggravated myotonia
S5127,long qt syndrome 10
S5128,cardiomyopathy, dilated, 1e
S5129,long qt syndrome 3
S5130,long qt syndrome type 3
S5131,sick sinus syndrome 1, autosomal recessive
S5132,indifference to pain, congenital, autosomal recessive
S5133,paroxysmal extreme pain disorder
S5134,bronchiectasis with or without elevated sweat chloride 2
S5135,bronchiectasis with or without elevated sweat chloride 3
S5136,cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency
S5137,leukoencephalopathy with dystonia and motor neuropathy
S5138,mitochondrial complex ii deficiency
S5139,carney-stratakis syndrome
S5140,cowden-like syndrome
S5141,carcinoid tumors, intestinal
S5142,craniolenticulosutural dysplasia
S5143,thyroid hormone metabolism, abnormal
S5144,cone-rod dystrophy 10
S5145,retinitis pigmentosa 35
S5146,rigid spine syndrome
S5147,neuritis with brachial predilection
S5148,panniculitis, nodular nonsuppurative
S5149,corticosteroid-binding globulin deficiency
S5150,deafness, autosomal recessive 91
S5151,heparin cofactor ii deficiency
S5152,plasminogen activator inhibitor-1 deficiency
S5153,anti-plasmin deficiency, congenital
S5154,complement component 4, partial deficiency of
S5155,familial encephalopathy with neuroserpin inclusion bodies
S5156,schinzel-giedion syndrome
S5157,amyotrophic lateral sclerosis 4, juvenile
S5158,spinocerebellar ataxia, autosomal recessive 1
S5159,surfactant metabolism dysfunction, pulmonary, 2
S5160,limb-girdle muscular dystrophy, type 2d
S5161,limb-girdle muscular dystrophy, type 2e
S5162,cardiomyopathy, dilated, 1l
S5163,limb-girdle muscular dystrophy type 2f
S5164,limb-girdle muscular dystrophy, type 2c
S5165,cherubism
S5166,ter haar syndrome
S5167,charcot-marie-tooth disease, type 4c
S5168,mononeuropathy of the median nerve, mild
S5169,split hand foot deformity 1
S5170,holoprosencephaly 3
S5171,microphthalmia, isolated, with coloboma 5
S5172,single upper central incisor
S5173,noonan syndrome-like disorder with loose anagen hair
S5174,langer mesomelic dysplasia
S5175,leri-weil syndrome
S5176,short stature, idiopathic, x-linked
S5177,stocco dos santos syndrome
S5178,sucrase-isomaltase deficiency, congenital
S5179,branchiootic syndrome 3
S5180,deafness, autosomal dominant 23
S5181,holoprosencephaly 2
S5182,branchiootorenal syndrome 2
S5183,microphthalmia, isolated, with cataract 2
S5184,bile acid malabsorption, primary
S5185,buruli ulcer
S5186,anemia, hypochromic microcytic, with iron overload
S5187,bartter syndrome, antenatal type 1
S5188,gitelman syndrome
S5189,corpus callosum agenesis neuronopathy
S5190,erythrocyte lactate transporter defect
S5191,hyperinsulinemic hypoglycemia, familial, 7
S5192,cataract, juvenile, with microcornea and glucosuria
S5193,allan-herndon-dudley syndrome
S5194,deafness, autosomal dominant 25
S5195,thiamine responsive megaloblastic anemia syndrome
S5196,episodic ataxia, type 6
S5197,pleuropneumonia
S5198,hypomyelination, global cerebral
S5199,adult-onset citrullinemia type 2
S5200,neonatal-onset citrullinemia type 2
S5201,hhh syndrome
S5202,amish lethal microcephaly
S5203,carnitine-acylcarnitine translocase deficiency
S5204,epileptic encephalopathy, early infantile, 3
